heightwholenum,framemat,framefunc,widthWholeNum,lift,itemset,locationtype,leadmechanic,TotalInstallationTime,LongCarry
51,,,37,60,SCREW BEADS,2,211,130,NULL
24,,SLIDER,24,60,WRAP AROUND FRAME,9,139,40,NULL
59,,FIXED,19,23,WRAP AROUND RUBBER,1,90,70,NULL
57,ALUMINUM,FLUSH GLAZE,20,34,,9,139,40,NULL
70,,SLIDER,44,23,WRAP AROUND FRAME,10,228,65,NULL
52,ALUMINUM,FLUSH GLAZE,44,35,PUSH RUBBER,2,228,30,NULL
49,,,43,34,SCREW BEADS,12,6,145,NULL
92,ALUMINUM,FLUSH GLAZE,45,2,,2,90,75,NULL
59,ALUMINUM,CURTAINWALL,41,156,PRESSURE PLATE,5,211,160,NULL
42,VINYL,FIXED,36,40,SNAP BEADS,9,6,55,NULL
22,,,30,26,VINYL BEADS,0,90,90,NULL
48,,,20,72,VINYL BEADS,1,90,75,NULL
52,,SIDELITE,7,30,,1,228,80,NULL
60,ALUMINUM,FLUSH GLAZE,54,24,,2,211,60,NULL
32,VINYL,UPPPER DH,26,72,VINYL BEADS,9,228,55,NULL
22,STEEL,SASH,18,60,PUTTY,1,139,140,NULL
18,,FIXED,70,72,SNAP BEADS,9,90,85,NULL
16,ALUMINUM,BOTTOM SASH,19,40,WRAP AROUND RUBBER,1,228,40,NULL
30,ALUMINUM,CURTAINWALL,38,11,PRESSURE PLATE,13,6,50,NULL
77,ALUMINUM,CURTAINWALL,67,14,PRESSURE PLATE,2,6,90,NULL
49,,FIXED,98,34,WRAP AROUND FRAME,1,211,115,NULL
82,ALUMINUM,FLUSH GLAZE,20,4,,0,6,10,NULL
32,WOOD,TOP DH,32,144,PUTTY,1,90,85,NULL
0,ALUMINUM,FIXED,0,84,SNAP BEADS,11,6,40,NULL
16,WOOD,BOTTOM DH,12,52,PUTTY,1,62,55,NULL
17,WOOD,TRANSOM,29,84,WOOD BEADS,1,62,65,NULL
43,VINYL,FIXED,33,40,SNAP BEADS,9,228,40,NULL
43,VINYL,FIXED,44,39,SNAP BEADS,9,228,20,NULL
37,STEEK,,49,42,SCREW BEADS,2,6,100,NULL
42,VINYL,SLIDER,33,39,SNAP BEADS,9,228,95,NULL
21,VINYL,BOTTOM SH,24,40,VINYL BEADS,9,62,30,NULL
31,VINYL,TOP SH,24,60,VINYL BEADS,9,62,30,NULL
55,ALUMINUM,STORM PANEL,46,36,VINYL BEADS,9,211,90,NULL
44,VINYL,FIXED,47,68,WRAP AROUND FRAME,1,6,40,NULL
36,ALUMINUM,FLUSH GLAZE,38,53,,2,6,35,NULL
31,,BOTTOM DH,28,40,WRAP AROUND FRAME,10,62,45,NULL
23,ALUMINUM,CURTAINWALL,20,5,PRESSURE PLATE,2,62,100,NULL
68,ALUMINUM,FLUSH GLAZE,58,36,,2,6,50,NULL
62,METAL,,17,32,,1,228,75,NULL
32,VINYL,FIXED,25,51,VINYL BEADS,9,6,45,NULL
42,VINYL,FIXED,20,37,SNAP BEADS,9,228,25,NULL
64,ALUMINUM,FLUSH GLAZE,29,32,,2,211,15,NULL
23,ALUMINUM,FIXED,64,6,SCREW BEADS,2,6,50,NULL
15,ALUMINUM,FIXED,36,32,SNAP BEADS,5,139,265,NULL
96,WOOD,,50,24,WOOD BEADS,2,228,90,NULL
27,VINYL,UPPER SH,32,60,VINYL BEADS,9,228,20,NULL
24,ALUMINUM,FLUSH GLAZE,59,18,,9,228,20,NULL
58,METAL,,15,36,,2,6,75,NULL
34,ALUMINUM,FIXED,20,32,WRAP AROUND RUBBER,1,139,60,NULL
82,ALUMINUM,FLUSH GLAZE,23,5,,9,211,5,NULL
31,VINYL,TOP SASH,26,57,WRAP AROUND FRAME,1,62,45,NULL
48,ALUMINUM,FLUSH GLAZE,68,18,,11,6,35,NULL
17,WOOD,FIXED,43,8,WOOD BEADS,1,228,60,NULL
78,ALUMINUM,FLUSH GLAZE,55,32,,2,90,45,NULL
87,WOOD,,35,8,WOOD BEADS,2,228,75,NULL
31,VINYL,FIXED,15,40,VINYL BEADS,9,228,30,NULL
16,ALUMINUM,TOP SH,34,60,VINYL BEADS,1,139,135,NULL
82,ALUMINUM,FLUSH GLAZE,43,7,,2,228,35,NULL
32,,BOTTOM SH,22,27,WRAP AROUND FRAME,1,62,40,NULL
87,STEEL,,21,4,SCREW BEADS,2,228,60,NULL
24,ALUMINUM,SLIDER,24,60,WRAP AROUND FRAME,0,6,30,NULL
29,ALUMINUM,CURTAINWALL,25,5,PRESSURE PLATE,5,62,90,NULL
68,WOOD,WINDOW,84,33,WOOD BEADS,1,211,105,NULL
26,,,38,53,WRAP AROUND RUBBER,9,139,65,NULL
32,,,29,48,SNAP BEADS,2,211,30,NULL
53,ALUMINUM,SLIDER,22,24,SNAP BEADS,9,211,40,NULL
33,VINYL,FIXED,28,24,SNAP BEADS,9,6,50,NULL
97,,,22,24,SNAP BEADS,2,118,40,NULL
36,,SLIDER,27,48,WRAP AROUND RUBBER,9,211,25,NULL
18,VINYL,FIXED,29,84,SNAP BEADS,1,228,30,NULL
45,,SLIDER,32,34,WRAP AROUND FRAME,9,228,40,NULL
86,SASH RAIL,SIDELITE,31,21,,13,211,85,NULL
23,,FIXED,24,4,SNAP BEADS,1,228,40,NULL
33,,,31,26,VINYL BEADS,1,62,45,NULL
34,,,27,24,VINYL BEADS,9,118,40,NULL
105,ALUMINUM,FLUSH GLAZE,44,4,,5,211,40,NULL
9,,,64,84,VINYL BEADS,1,62,80,NULL
30,,SLIDER,9,42,VINYL BEADS,2,228,45,NULL
0,ALUMINUM,FLUSH GLAZE,0,60,,6,62,30,NULL
68,ALUMINUM,FLUSH GLAZE,52,28,,2,211,55,NULL
36,,,29,8,VINYL BEADS,1,62,45,NULL
82,ALUMINUM,FLUSH GLAZE,20,5,,9,62,45,NULL
27,VINYL,FIXED,47,3,SNAP BEADS,9,62,40,NULL
60,,,28,42,,0,62,95,NULL
56,ALUMINUM,FLUSH GLAZE,58,33,PUSH RUBBER,2,118,40,NULL
56,,FIXED,33,36,,2,228,65,NULL
60,,,57,39,,2,90,115,NULL
87,,,35,96,WOOD BEADS,2,211,40,NULL
72,,,52,24,,2,62,110,NULL
33,,,33,50,PUTTY,1,228,60,NULL
43,,FIXED,27,34,VINYL BEADS,10,228,50,NULL
62,ALUMINUM,FLUSH GLAZE,37,29,PUSH RUBBER,2,139,80,NULL
55,VINYL,FIXED,27,39,SNAP BEADS,9,6,45,NULL
55,VINYL,FIXED,33,31,SNAP BEADS,9,6,35,NULL
20,,,17,56,SNAP BEADS,1,6,25,NULL
20,Wood,Door,30,60,Putty Hack Glaze,1,139,25,NULL
0,WOOD,FIXED,26,144,WOOD BEADS,1,228,20,NULL
40,VINYL,FIXED,34,38,SNAP BEADS,1,139,125,NULL
67,ALUMINUM,FLUSH GLAZE,45,26,PUSH RUBBER,6,6,40,NULL
68,ALUMINUM,FLUSH GLAZE,33,30,,4,228,30,NULL
16,,,30,72,PUTTY,1,6,70,NULL
27,,,31,38,SNAP BEADS,9,118,45,NULL
43,VINYL,FIXED,46,38,SNAP BEADS,9,228,35,NULL
24,,,28,53,WRAP AROUND RUBBER,1,62,45,NULL
85,,,45,6,SCREW BEADS,12,6,55,NULL
30,,BOTTOM SH,30,20,SNAP BEADS,2,118,45,NULL
89,ALUMINUM,CURTAINWALL,78,5,PRESSURE PLATE,10,90,70,NULL
82,,,78,28,,2,118,100,NULL
51,,FIXED,31,34,VINYL BEADS,9,211,55,NULL
94,ALUMINUM,CURTAIN WALL,41,3,,7,90,50,NULL
62,ALUMINUM,FLUSH GLAZE,48,26,PUSH RUBBER,2,90,65,NULL
27,ALUMINUM,FLUSH GLAZE,46,52,,12,62,30,NULL
26,,BOTTOM SH,38,26,WRAP AROUND RUBBER,9,62,60,NULL
62,ALUMINUM,FLUSH GLAZE,44,16,,2,211,15,NULL
36,,TOP SH,25,45,WRAP AROUND FRAME,1,118,50,NULL
67,,,69,36,SNAP BEADS,2,211,125,NULL
64,,SLIDER,34,22,WRAP AROUND RUBBER,9,228,45,NULL
37,,SIDELITE,21,51,SCREW BEADS,9,62,40,NULL
59,,,18,26,VINYL BEADS,1,62,45,NULL
33,,SIDELITE,25,4,,9,228,25,NULL
28,,,23,40,VINYL BEADS,1,62,40,NULL
22,ALUMINUM,,53,13,SNAP BEADS,5,90,40,NULL
54,,FIXED,51,46,,1,118,75,NULL
41,,,26,40,VINYL BEADS,1,6,60,NULL
14,,,10,60,PUTTY,1,228,40,NULL
27,,BOTTOM SH,24,36,SNAP BEADS,9,62,60,NULL
21,,,26,60,VINYL BEADS,9,62,30,NULL
69,,,58,26,,12,62,80,NULL
82,SASH RAIL,,73,23,,2,228,135,NULL
63,ALUMINUM,FIXED,60,33,SCREW BEADS,6,211,130,NULL
43,ALUMINUM,FLUSH GLAZE,57,48,PUSH RUBBER,2,118,40,NULL
69,ALUMINUM,FIXED,46,26,SNAP BEADS,2,211,95,NULL
43,VINYL,FIXED,22,38,VINYL BEADS,1,228,55,NULL
67,ALUMINUM,FLUSH GLAZE,92,35,,2,90,40,NULL
116,ALUMINUM,FLUSH GLAZE,81,3,,2,6,120,NULL
33,,BOTTOM SH,25,26,SNAP BEADS,9,62,35,NULL
0,,,0,74,SNAP BEADS,6,118,60,NULL
40,,,31,4,SCREW BEADS,9,118,20,NULL
12,,,7,72,PUTTY,1,62,50,NULL
32,,BOTTOM SH,38,36,,1,6,55,NULL
27,,,34,25,VINYL BEADS,9,62,20,NULL
27,,,34,25,VINYL BEADS,0,62,25,NULL
27,,,34,25,VINYL BEADS,0,62,20,NULL
22,,,26,60,WRAP AROUND FRAME,9,62,25,NULL
26,,UPPER DH,35,108,WRAP AROUND FRAME,9,62,40,NULL
64,,SLIDER,42,22,WRAP AROUND RUBBER,1,90,80,NULL
32,,TOP SH,31,30,VINYL BEADS,1,6,50,NULL
39,VINYL,FIXED,15,30,VINYL BEADS,1,228,25,NULL
104,ALUMINUM,LUG SASH,60,19,,2,211,90,NULL
67,ANDERSEN,CASEMENT,20,12,VINYL BEADS,1,62,30,NULL
82,ALUMINUM,FLUSH GLAZE,21,5,,9,6,15,NULL
14,,BOTTOM SH,19,49,SNAP BEADS,1,6,25,NULL
54,ANDERSEN,SLIDER,26,19,VINYL BEADS,1,90,55,NULL
59,,,48,12,,2,6,60,NULL
27,,BOTTOM SH,43,46,SCREW BEADS,5,62,40,NULL
42,ALUMINUM,FLUSH GLAZE,55,4,,9,6,15,NULL
60,ALUMINUM,FIXED,24,27,SNAP BEADS,2,228,50,NULL
48,,SLIDER,24,32,WRAP AROUND RUBBER,9,228,40,NULL
48,,FIXED,11,34,VINYL BEADS,1,6,70,NULL
32,,,28,38,VINYL BEADS,1,137,45,NULL
24,,,23,60,WRAP AROUND FRAME,1,6,45,NULL
36,,,46,57,PUTTY,5,137,120,NULL
58,ALUMINUM,FLUSH GLAZE,44,64,PUSH RUBBER,2,6,50,NULL
23,ALUMINUM,FLUSH GLAZE,24,72,,2,118,20,NULL
33,,,25,4,WRAP AROUND FRAME,9,90,30,NULL
26,ALUMINUM,,35,2,SNAP BEADS,5,90,40,NULL
42,,FIXED,21,38,VINYL BEADS,9,228,15,NULL
42,VINYL,FIXED,46,40,VINYL BEADS,1,118,55,NULL
42,,,25,60,WOOD BEADS,1,6,65,NULL
46,ALUMINUM,FIXED,24,6,PUSH RUBBER,0,228,25,NULL
32,ALUMINUM,FIXED,19,48,WRAP AROUND RUBBER,2,118,60,NULL
88,,LUG SASH,41,15,,2,228,50,NULL
62,ALUMINUM,,58,22,SNAP BEADS,2,118,30,NULL
23,ALUMINUM,CURTAINWALL,35,59,PRESSURE PLATE,5,6,90,NULL
52,ALUMINUM,FLUSH GLAZE,36,35,,5,118,30,NULL
26,,,28,38,SNAP BEADS,5,228,75,NULL
61,VINYL,WINDOW,23,18,VINYL BEADS,11,211,95,NULL
63,,FIXED,56,40,SNAP BEADS,4,211,175,NULL
36,STEEL,FIXED,54,18,PUTTY,1,62,110,NULL
31,,FIXED,15,44,VINYL BEADS,0,228,30,NULL
57,,,65,26,WOOD BEADS,2,228,70,NULL
86,ALUMINUM,FLUSH GLAZE,62,22,PUSH RUBBER,2,211,40,NULL
14,ALUMINUM,FIXED,12,48,VINYL BEADS,11,62,25,NULL
83,ALUMINUM,FLUSH GLAZE,40,10,,2,90,20,NULL
56,,SLIDER,21,36,VINYL BEADS,0,228,50,NULL
22,,SIDELITE,25,38,SCREW BEADS,0,6,30,NULL
33,ALUMINUM,FLUSH GLAZE,39,30,,2,228,20,NULL
36,,SLIDER,27,48,,9,62,35,NULL
70,ALUMINUM,CURTAINWALL,29,33,PRESSURE PLATE,5,6,100,NULL
37,ALUMINUM,FIXED,34,60,,2,6,65,NULL
53,,FIXED,28,38,VINYL BEADS,9,62,130,NULL
82,ALUMINUM,FLUSH GLAZE,17,7,,0,6,15,NULL
33,,,31,44,WRAP AROUND FRAME,9,90,25,NULL
45,ALUMINUM,FLUSH GLAZE,28,24,,2,6,20,NULL
60,ALUMINUM,FIXED,57,28,SNAP BEADS,2,118,80,NULL
44,,FIXED,20,40,VINYL BEADS,9,137,65,NULL
22,,,33,64,VINYL BEADS,1,118,35,NULL
24,,,32,28,,1,118,50,NULL
55,ALUMINUM,CURTAINWALL,77,35,PRESSURE PLATE,12,228,100,NULL
45,,SLIDER,32,34,WRAP AROUND FRAME,9,228,15,NULL
42,,,16,84,PUTTY,1,211,105,NULL
56,,SLIDER,42,36,,9,211,90,NULL
24,,,50,96,,2,228,105,NULL
26,,,30,32,,5,137,60,NULL
16,,,32,84,Silicone,2,211,35,NULL
65,WOOD,FIXED,42,20,,1,118,140,NULL
65,,,60,28,,2,6,90,NULL
18,VINYL,SLIDER,22,60,SNAP BEADS,0,62,25,NULL
46,ALUMINUM,FLUSH GLAZE,34,37,PUSH RUBBER,0,90,20,NULL
53,STEEL,FIXED,29,120,PUSH RUBBER,5,211,80,NULL
0,,BOTTOM DH,0,45,,1,6,60,NULL
81,ALUMINUM,,41,48,SNAP BEADS,2,228,65,NULL
60,,SLIDER,32,28,WRAP AROUND RUBBER,9,6,65,NULL
89,ALUMINUM,FLUSH GLAZE,53,28,,2,90,45,NULL
77,WOOD,SIDELITE,9,2,WOOD BEADS,1,228,135,NULL
13,,,75,81,VINYL BEADS,1,118,80,NULL
42,,,28,60,WOOD BEADS,1,90,65,NULL
19,ALUMINUM,FIXED,22,204,PUSH RUBBER,9,118,60,NULL
33,,,19,44,WRAP AROUND FRAME,9,90,40,NULL
27,,,32,55,SNAP BEADS,1,90,55,NULL
26,,BOTTOM SH,31,27,WRAP AROUND RUBBER,1,90,30,NULL
48,ALUMINUM,CURTAINWALL,44,39,PRESSURE PLATE,2,211,110,NULL
48,ALUMINUM,FLUSH GLAZE,43,24,,9,118,85,NULL
75,,SIDELITE,50,4,SCREW BEADS,9,228,35,NULL
33,,SIDELITE,26,40,SCREW BEADS,0,6,30,NULL
48,ALUMINUM,CURTAINWALL,17,35,PRESSURE PLATE,2,211,35,NULL
47,,,70,38,,2,211,50,NULL
53,ALUMINUM,FLUSH GLAZE,83,36,,2,90,45,NULL
86,ALUMINUM,FLUSH GLAZE,55,38,,2,228,25,NULL
36,,BOTTOM SH,29,6,VINYL BEADS,1,118,70,NULL
57,ALUMINUM,FLUSH GLAZE,56,18,,2,211,115,NULL
51,,,46,28,SCREW BEADS,2,228,30,1
55,VINYL,FIXED,33,31,SNAP BEADS,9,90,50,NULL
19,,FIXED,10,60,VINYL BEADS,1,137,30,NULL
30,,,25,51,WRAP AROUND FRAME,1,228,35,NULL
47,,,44,36,PUTTY,2,90,130,NULL
14,,,34,40,VINYL BEADS,9,6,50,NULL
81,,SASH RAIL,44,12,,2,211,75,NULL
44,ALUMINUM,FIXED,52,40,WRAP AROUND RUBBER,1,118,40,NULL
33,,BOTTOM SH,31,9,WRAP AROUND FRAME,9,90,30,NULL
43,ANDERSEN,,20,66,VINYL BEADS,1,90,65,NULL
15,,BOTTOM SH,27,50,WRAP AROUND FRAME,9,137,45,NULL
29,,FIXED,26,40,VINYL BEADS,9,228,65,NULL
27,,,31,60,VINYL BEADS,9,137,35,NULL
13,VINYL,FIXED,27,96,VINYL BEADS,9,90,60,1
27,,BOTTOM SH,32,25,VINYL BEADS,9,62,55,NULL
55,ANDERSEN,,32,30,VINYL BEADS,9,62,85,NULL
24,STEEL,,18,192,PUTTY,2,228,70,NULL
90,ALUMINUM,FLUSH GLAZE,64,31,,2,6,70,NULL
98,ALUMINUM,FLUSH GLAZE,46,30,,2,6,35,NULL
18,,,31,60,,1,137,60,NULL
54,,,36,44,WOOD BEADS,5,90,85,NULL
23,,,20,30,WRAP AROUND RUBBER,1,62,35,NULL
29,,,29,60,VINYL BEADS,1,211,40,NULL
36,,,29,60,,1,118,45,NULL
74,,,16,27,PUSH RUBBER,2,211,30,NULL
32,,,32,81,,1,211,65,NULL
33,,BOTTOM SH,32,9,WRAP AROUND FRAME,9,211,30,NULL
41,VINYL,SLIDER,32,36,SNAP BEADS,9,90,60,NULL
24,ANDERSEN,,41,60,VINYL BEADS,1,228,70,NULL
33,ALUMINUM,CURTAINWALL,67,6,PRESSURE PLATE,2,118,35,NULL
88,SASH RAIL,,80,29,,2,90,140,NULL
43,,SLIDER,21,40,WRAP AROUND FRAME,9,6,40,NULL
43,,SLIDER,21,40,WRAP AROUND FRAME,9,6,25,NULL
18,,,32,57,VINYL BEADS,1,62,70,NULL
82,ALUMINUM,FLUSH GLAZE,64,27,,2,90,70,NULL
0,,,0,30,VINYL BEADS,9,62,65,NULL
51,Aluminum,Transom,71,84,SNAP BEADS,4,211,80,NULL
55,ALUMINUM,FIXED,14,35,SNAP BEADS,9,11,75,NULL
49,VINYL,STATIONARY,48,32,SNAP BEADS,1,118,45,NULL
32,VINYL,BOTTOM SASH,26,22,WRAP AROUND FRAME,1,11,20,NULL
57,ALUMINUM,CURTAINWALL,57,45,PRESSURE PLATE,2,62,120,NULL
69,ALUMINUM,CURTAIN WALL,95,27,,6,211,105,1
46,,,34,24,,2,62,15,NULL
26,VINYL,UPPER HALF OF DOUBLE HUNG,39,52,WRAP AROUND FRAME,9,228,5,NULL
26,ALUMINUM,STATIONARY,56,4,,5,118,95,NULL
55,ALUMINUM,CURTAINWALL,58,84,PRESSURE PLATE,2,211,90,NULL
56,alum,SLIDER,25,34,wrap around rubber,9,62,415,NULL
57,ALUMINUM,UPPER SH,44,52,SCREW BEADS,2,228,50,NULL
42,ALUMINUM,STATIONARY,38,55,ZIPPER WALL,12,69,10,NULL
45,VINYL,FIXED,43,53,SNAP BEADS,1,6,50,NULL
28,VINYL,FIXED,13,48,SNAP BEADS,9,137,30,NULL
93,Aluminum,Curtainwall,32,6,,9,6,55,NULL
45,Aluminum,Flush Glaze,34,36,,2,228,15,NULL
20,,FIXED,56,13,SNAP BEADS,1,11,45,NULL
72,Aluminum,451,53,30,,5,118,60,NULL
56,Aluminum,Fixed,45,42,Wrap Around Rubber,5,62,65,NULL
47,Vinyl,Fixed,43,36,Snap Beads,9,228,50,NULL
41,alum,FIXED,41,46,SNAP BEADS,2,118,90,NULL
69,Aluminum,Flush Glaze,54,15,,2,11,90,NULL
79,VINYL,SIDELITE,14,2,,9,228,50,NULL
33,wood,FLUSH GLAZE,44,3,PUSH RUBBER,2,118,45,NULL
23,alum,BOTTOM SASH,38,31,wrap around rubber,1,211,10,NULL
42,,FIXED,46,48,SNAP BEADS,9,11,40,NULL
10,VINYL,TRANSOM,29,90,SNAP BEADS,1,228,45,NULL
23,alum,,45,36,SNAP BEADS,13,62,50,NULL
50,alum,FIXED,43,36,SNAP BEADS,4,132,140,NULL
10,VINYL,FIXED,15,84,SNAP BEADS,9,6,40,NULL
39,VINYL,PICTURE WINDOW,57,64,VINYL BEADS,1,62,55,NULL
60,ALUMINUM,FIXED,58,22,SNAP BEADS,2,211,40,NULL
94,SASH RAIL,,40,27,,2,6,50,NULL
43,VINYL,FIXED,55,35,VINYL BEADS,10,211,25,NULL
26,wood,SIDELITE,29,37,WOOD BEADS,1,11,60,NULL
79,alum,FIXED,30,30,SNAP BEADS,6,90,100,1
41,,,34,36,VINYL BEADS,10,118,75,NULL
89,Wood,,97,32,WOOD BEADS,2,90,165,NULL
17,wood,,17,40,putty,2,62,75,NULL
17,,,33,180,SNAP BEADS,2,62,35,NULL
72,ALUMINUM,CURTAINWALL,57,30,PRESSURE PLATE,2,211,140,NULL
34,,BOTTOM SH,20,36,SNAP BEADS,1,118,40,NULL
30,VINYL,SLIDER,22,48,WRAP AROUND FRAME,1,228,35,NULL
48,,,47,240,VINYL BEADS,1,6,45,NULL
56,alum,FIXED,45,27,SCREW BEADS,9,62,65,NULL
14,wood,TOP DH,10,144,putty,1,228,75,NULL
41,VINYL,FIXED,32,36,SNAP BEADS,1,11,35,NULL
31,alum,SIDELITE,37,2,SNAP BEADS,5,6,40,NULL
14,ALUMINUM,FLUSH GLAZE,84,84,,9,6,35,NULL
38,ALUMINUM,FLUSH GLAZE,12,36,flush glaze,9,62,20,NULL
70,,LUG SASH,82,12,,2,6,40,NULL
35,,BOTTOM SH,19,36,WRAP AROUND FRAME,1,11,30,NULL
57,,,37,44,WRAP AROUND FRAME,6,211,60,NULL
0,,,0,24,,0,211,25,NULL
40,wood,SIDELITE,23,44,WOOD BEADS,9,90,20,NULL
41,VINYL,SLIDER,21,37,VINYL BEADS,9,90,40,NULL
10,wood,,107,84,WOOD BEADS,9,90,125,NULL
50,,,78,42,SCREW BEADS,10,118,105,NULL
53,,FIXED,15,26,VINYL BEADS,2,62,15,NULL
33,,BOTTOM SH,31,9,SNAP BEADS,9,62,20,NULL
44,,,87,72,SNAP BEADS,9,6,130,NULL
32,ALUMINUM,FLUSH GLAZE,62,84,,2,228,60,NULL
53,,SLIDER,26,26,VINYL BEADS,9,90,50,NULL
92,SASH RAIL,TOP SH,92,27,,2,90,65,NULL
30,wood,BOTTOM DH,42,144,putty,1,62,35,NULL
81,SASH RAIL,SIDELITE,19,4,wrap around rubber,1,6,20,NULL
41,alum,FIXED,37,32,SNAP BEADS,4,228,35,NULL
92,,,76,24,,2,6,75,NULL
23,,TOP SH,39,60,VINYL BEADS,9,6,40,NULL
25,,,40,54,SNAP BEADS,1,228,50,NULL
16,wood,,36,72,WOOD BEADS,1,90,50,NULL
30,ALUMINUM,,29,43,SNAP BEADS,9,211,15,NULL
110,ALUMINUM,FLUSH GLAZE,46,24,flush glaze,2,211,55,NULL
14,,,22,72,SCREW BEADS,2,118,30,NULL
55,,FIXED,21,40,VINYL BEADS,9,228,35,NULL
28,ALUMINUM,CURTAINWALL,43,3,PRESSURE PLATE,6,90,70,NULL
19,,,32,66,VINYL BEADS,9,11,35,NULL
56,ALUMINUM,FIXED,45,27,SCREW BEADS,9,62,70,NULL
38,,FIXED,24,40,VINYL BEADS,9,228,45,NULL
11,,,26,72,SNAP BEADS,9,137,60,NULL
47,,SLIDER,16,40,WRAP AROUND FRAME,1,62,5,NULL
43,VINYL,FIXED,26,42,VINYL BEADS,9,11,60,NULL
46,,FIXED,84,25,SNAP BEADS,2,211,110,NULL
40,VINYL,SLIDER,32,40,Wrap Around Rubber,9,118,25,NULL
63,,,43,36,SNAP BEADS,2,211,135,NULL
96,ALUMINUM,FLUSH GLAZE,98,38,PUSH RUBBER,2,6,135,NULL
52,,TOP SH,46,90,SNAP BEADS,9,211,200,NULL
54,,FIXED,18,24,VINYL BEADS,1,118,60,NULL
32,VINYL,FIXED,31,10,VINYL BEADS,9,62,55,NULL
48,,,45,32,VINYL BEADS,1,228,55,NULL
63,,FIXED,52,82,SNAP BEADS,9,228,125,NULL
93,ALUMINUM,FLUSH GLAZE,49,2,PUSH RUBBER,2,90,45,NULL
40,VINYL,FIXED,26,38,VINYL BEADS,0,90,85,NULL
37,,SLIDER,32,40,WRAP AROUND FRAME,9,211,25,NULL
56,VINYL,FIXED,44,55,SNAP BEADS,1,228,60,NULL
11,,,13,78,VINYL BEADS,1,11,55,NULL
27,,,35,60,SCREW BEADS,12,228,70,NULL
0,ALUMINUM,FLUSH GLAZE,0,96,PUSH RUBBER,2,90,50,NULL
48,alum,FIXED,28,40,wrap around rubber,9,90,50,NULL
32,,,31,60,SNAP BEADS,1,11,150,NULL
0,451,,0,50,wrap around rubber,6,6,60,NULL
56,Wood,FIXED,26,144,WOOD BEADS,1,211,120,NULL
27,,,25,52,SNAP BEADS,1,228,35,NULL
82,ALUMINUM,FLUSH GLAZE,16,8,PUSH RUBBER,9,11,15,NULL
42,VINYL,SLIDER,15,40,,9,228,25,NULL
61,,,58,48,,2,211,80,NULL
18,,BOTTOM SH,21,43,SNAP BEADS,1,118,40,NULL
61,ALUMINUM,FLUSH GLAZE,43,36,,9,6,40,NULL
16,,,33,7,VINYL BEADS,1,118,35,NULL
76,ALUMINUM,FLUSH GLAZE,37,14,,2,90,35,NULL
29,VINYL,BOTTOM SASH,35,16,SNAP BEADS,1,211,35,NULL
80,,SIDELITE,47,7,SCREW BEADS,2,211,75,NULL
42,VINYL,FIXED,46,39,SNAP BEADS,9,62,10,NULL
49,,,19,38,PUTTY,1,90,65,NULL
42,,SLIDER,27,44,,9,90,45,NULL
19,,BOTTOM SH,42,40,,9,118,55,NULL
22,,,14,40,SNAP BEADS,9,62,55,NULL
69,,,59,54,SCREW BEADS,2,6,85,NULL
81,,,66,29,SNAP BEADS,2,90,70,NULL
21,,,34,27,SNAP BEADS,2,6,20,NULL
26,,,31,60,VINYL BEADS,9,6,25,NULL
16,,,18,72,PUTTY,1,62,50,NULL
43,,,23,39,SCREW BEADS,2,62,50,NULL
60,,,52,36,SNAP BEADS,2,6,115,NULL
24,,FIXED,24,60,PUSH RUBBER,9,228,35,NULL
16,,,42,45,PUTTY,0,90,50,NULL
21,,,34,29,SNAP BEADS,2,6,20,NULL
12,,FIXED,42,84,VINYL BEADS,9,118,95,NULL
51,ALUMINUM,FIXED,29,25,SNAP BEADS,9,62,55,NULL
21,ALUMINUM,CURTAINWALL,41,96,PRESSURE PLATE,2,6,75,NULL
53,ALUMINUM,,30,32,SNAP BEADS,5,118,25,NULL
26,ALUMINUM,FLUSH GLAZE,40,5,PUSH RUBBER,0,6,45,NULL
25,,,19,40,VINYL BEADS,9,62,25,NULL
103,SASH RAIL,SIDELITE,83,27,,2,228,110,NULL
26,,,24,48,VINYL BEADS,9,6,50,NULL
75,,FIXED,32,30,WRAP AROUND FRAME,2,118,25,NULL
53,ALUMINUM,FIXED,33,31,VINYL BEADS,2,118,85,NULL
66,,,37,48,SNAP BEADS,9,62,130,NULL
20,ALUMINUM,GLAZE,46,144,PUTTY,2,11,45,NULL
52,ALUMINUM,FIXED,76,32,SNAP BEADS,6,90,120,NULL
55,ALUMINUM,FIXED,14,34,SNAP BEADS,9,6,40,NULL
38,,,36,35,VINYL BEADS,2,137,40,NULL
64,,FIXED,33,28,VINYL BEADS,9,90,60,NULL
75,SASH RAIL,,68,27,,2,228,105,NULL
21,,,32,26,VINYL BEADS,9,62,60,NULL
31,,BOTTOM SH,26,29,WRAP AROUND RUBBER,2,228,35,NULL
42,VINYL,FIXED,46,40,SNAP BEADS,9,62,15,NULL
27,,,31,54,SNAP BEADS,1,62,30,NULL
26,,BOTTOM SH,31,24,SNAP BEADS,2,118,45,NULL
14,,,37,68,VINYL BEADS,12,228,115,NULL
80,ALUMINUM,FLUSH GLAZE,46,36,,0,6,20,NULL
40,,SLIDER,26,40,VINYL BEADS,9,6,65,NULL
12,,,50,40,SNAP BEADS,6,62,75,NULL
52,ALUMINUM,FIXED,60,33,SNAP BEADS,2,62,60,NULL
11,,,26,60,SNAP BEADS,9,137,60,NULL
