heightwholenum,framemat,framefunc,widthWholeNum,lift,itemset,locationtype,leadmechanic,TotalInstallationTime,LongCarry
67,wood,,33,30,WOOD BEADS,2,118,85,NULL
74,,FINTUBE,33,11,PUTTY,2,11,115,NULL
76,,LUG SASH,57,24,,1,6,95,NULL
39,,,36,24,SCREW BEADS,2,62,10,NULL
34,ALUMINUM,SASH,42,50,SNAP BEADS,2,62,45,NULL
68,ALUMINUM,FLUSH GLAZE,40,15,flush glaze,2,90,25,NULL
36,ALUMINUM,FIXED,15,36,,9,62,15,NULL
27,,TOP SH,32,52,VINYL BEADS,0,6,45,NULL
29,alum,TOP SH,31,66,SNAP BEADS,1,6,45,NULL
90,,,38,60,putty,2,6,175,NULL
55,VINYL,SLIDER,26,24,SNAP BEADS,11,11,75,NULL
57,alum,WINDOW,39,35,VINYL BEADS,7,62,95,NULL
70,,SNAP SASH,21,13,SNAP BEADS,2,118,40,NULL
44,,FIXED,20,40,VINYL BEADS,9,211,15,NULL
50,,WINDOW,20,60,putty,6,228,90,NULL
75,451,,31,27,SNAP BEADS,2,6,20,NULL
53,,FIXED,30,38,VINYL BEADS,9,228,60,NULL
30,,,31,204,VINYL BEADS,1,62,45,NULL
18,wood,FIXED,16,52,putty,1,118,45,NULL
37,,TOP DH,21,30,WRAP AROUND FRAME,1,62,60,NULL
27,wood,WINDOW,48,36,putty,1,211,120,NULL
78,ALUMINUM,FLUSH GLAZE,58,27,flush glaze,2,90,50,NULL
44,alum,SLIDER,33,37,wrap around rubber,9,118,40,NULL
63,ALUMINUM,,70,2,SNAP BEADS,9,6,45,NULL
103,,,58,60,,2,62,200,NULL
42,VINYL,FIXED,20,38,SNAP BEADS,9,6,45,NULL
42,ALUMINUM,FLUSH GLAZE,54,3,flush glaze,2,90,40,NULL
27,,FIXED,32,54,SNAP BEADS,1,90,55,NULL
49,VINYL,FIXED,55,35,SNAP BEADS,1,62,35,NULL
79,alum,FIXED,30,30,,6,90,210,1
69,,,46,36,SNAP BEADS,2,90,30,NULL
39,ALUMINUM,SASH,27,46,SNAP BEADS,9,228,55,NULL
9,VINYL,TRANSOM,25,96,SNAP BEADS,1,90,50,NULL
68,ALUMINUM,FLUSH GLAZE,60,48,flush glaze,2,211,45,NULL
49,STEEL,,23,35,SCREW BEADS,5,118,65,NULL
99,ALUMINUM,,55,20,SNAP BEADS,2,211,75,NULL
75,ALUMINUM,CURTAINWALL,65,32,PRESSURE PLATE,2,6,40,NULL
91,,FINTUBE,61,20,Wrap Around Rubber,2,6,40,NULL
39,,,14,47,SCREW BEADS,2,228,40,NULL
57,ALUMINUM,FIXED,21,36,SNAP BEADS,6,62,105,NULL
56,ALUMINUM,FIXED,31,33,SNAP BEADS,9,62,410,NULL
99,,,77,20,,2,6,90,NULL
90,ALUMINUM,,54,15,SNAP BEADS,2,211,30,NULL
59,alum,FIXED,29,44,SNAP BEADS,5,11,180,NULL
